name,ra_deg,dec_deg,mag
Rigil Kentaurus,219.90207,-60.83398,0.01
Vega,279.23474,38.78369,0.03
Arcturus,213.9153,19.18241,0.05
Montuno,66.3709,-30.60045,0.06
Capella,79.17233,45.99799,0.08
Naledi,87.13997,-63.98844,0.12
Rigel,78.63447,-8.20164,0.18
Koeia,41.67869,-23.08661,0.25
Amansinaya,165.39957,-23.86066,0.3
Sansuna,303.19536,18.10483,0.31
Gloas,140.10298,33.88242,0.38
Procyon,114.82549,5.22499,0.4
Achernar,24.42852,-57.23675,0.45
Betelgeuse,88.79294,7.40706,0.45
Sterrennacht,354.77421,42.46597,0.54
Mpingo,29.26335,0.75885,0.57
Hadar,210.95586,-60.37304,0.61
Canopus,95.98796,-52.69566,0.62
Altair,297.69583,8.86832,0.76
Tislit,126.33785,-11.50099,0.77
Koit,110.38817,58.26809,0.78
Nyamien,208.92797,-32.15962,0.8
Diya,41.04004,-30.16905,0.84
Aldebaran,68.98016,16.5093,0.87
Spica,201.29825,-11.16132,0.98
Proxima Centauri,217.42895,-62.67948,1.01
Antares,247.35191,-26.432,1.06
Pollux,116.32896,28.0262,1.16
Fomalhaut,344.41269,-29.62224,1.17
Deneb,310.35798,45.28034,1.25
Mimosa,191.93026,-59.68876,1.25
Petra,303.16737,-2.14422,1.27
Dombay,206.09414,48.02867,1.28
Moldoveanu,240.54936,28.16956,1.28
Acrux,186.64956,-63.09909,1.33
Sharjah,243.17408,-18.8755,1.34
Taika,335.51286,45.45737,1.35
Toliman,219.8961,-60.83753,1.35
Regulus,152.09296,11.96721,1.36
Diwo,239.96229,-28.06175,1.38
Tangra,347.49272,18.39608,1.4
Parumleo,3.9617,1.20044,1.41
Sirius,101.28715,-16.71612,1.45
Adhara,104.65645,-28.97209,1.5
Chaophraya,43.68806,-10.89806,1.55
Mazaalai,171.27494,41.02796,1.56
Tojil,52.81803,-23.81968,1.58
Gacrux,187.7915,-57.11321,1.59
Bellatrix,81.28276,6.3497,1.64
Elnath,81.57297,28.60745,1.65
Miaplacidus,138.29991,-69.71721,1.67
Alnilam,84.05339,-1.20192,1.69
Berehynia,66.24806,39.46064,1.72
Alnair,332.05827,-46.96097,1.73
Muspelheim,33.13116,51.77877,1.73
Alnitak,85.18969,-1.94257,1.74
Alioth,193.50729,55.95982,1.76
Kaus Australis,276.04299,-34.38462,1.79
Mirfak,51.08071,49.86118,1.79
Dubhe,165.93196,61.75104,1.81
Chason,274.40547,36.62144,1.82
Wezen,107.09785,-26.3932,1.83
Alkaid,206.88516,49.31327,1.85
Avior,125.62848,-59.50948,1.86
Sargas,264.32971,-42.99782,1.86
Malmok,217.32673,-3.4445,1.89
Menkalinan,89.88218,44.94743,1.9
Atria,252.16623,-69.02771,1.91
Alhena,99.42796,16.39928,1.93
Peacock,306.4119,-56.73509,1.94
Absolutno,116.71651,39.09457,1.95
Anadolu,348.49482,8.76127,1.95
Castor,113.64943,31.88828,1.98
Marohu,348.15724,-22.67397,1.98
Mirzam,95.67494,-17.95592,1.98
Alphard,141.89685,-8.6586,1.99
Alsephina,131.17594,-54.70882,1.99
Lerna,135.34437,6.09723,2.0
Hamal,31.79336,23.46242,2.01
Diphda,10.89738,-17.98661,2.04
Nunki,283.81636,-26.29672,2.05
Menkent,211.67062,-36.36996,2.06
Alpheratz,2.09692,29.09043,2.07
Kochab,222.67636,74.1555,2.07
Mirach,17.43301,35.62056,2.07
Saiph,86.93912,-9.66961,2.07
Rasalhague,263.73363,12.56003,2.08
Shaula,263.40217,-37.10382,2.08
Algol,47.04221,40.95565,2.09
Tuiren,188.26628,44.91533,2.09
Almach,30.9748,42.32973,2.1
Tiaki,340.66688,-46.88458,2.12
Polaris,37.95456,89.26411,2.13
Denebola,177.26491,14.57206,2.14
Tevel,110.16857,37.14065,2.15
Moriah,306.12385,16.76217,2.17
Morava,356.66656,31.15594,2.18
Pipoltr,268.02924,37.54618,2.2
Aspidiske,139.27253,-59.27523,2.21
Naos,120.89603,-40.00315,2.21
Alphecca,233.67195,26.71469,2.22
Mizar,200.98143,54.92536,2.23
Sadr,305.55709,40.25668,2.23
Suhail,136.99899,-43.43259,2.23
Eltanin,269.15154,51.4889,2.24
Schedar,10.12684,56.53733,2.24
Mintaka,83.00167,-0.29909,2.25
Caph,2.29452,59.14978,2.28
Dschubba,240.08336,-22.62171,2.29
Larawag,252.54088,-34.29323,2.29
Horna,35.38325,32.24614,2.3
Merak,165.46032,56.38243,2.34
Izar,221.24676,27.07421,2.35
Enif,326.04648,9.87501,2.38
Ankaa,6.57094,-42.30608,2.4
Phecda,178.45768,53.69476,2.41
Sabik,257.59453,-15.72491,2.43
Scheat,345.94357,28.08279,2.44
Alderamin,319.64488,62.58557,2.45
Aludra,111.02376,-29.30311,2.45
Markeb,140.52841,-55.01067,2.47
Aljanah,311.55284,33.97026,2.48
Markab,346.19022,15.20527,2.49
Atakoraka,101.11502,-32.85838,2.53
Menkar,45.56988,4.08974,2.54
Acrab,241.3593,-19.80545,2.56
Zosma,168.52709,20.52372,2.56
Arneb,83.18257,-17.82229,2.58
Gienah,183.95154,-17.54193,2.58
Ascella,285.65304,-29.88006,2.6
Algieba,154.99314,19.84149,2.61
Zubeneschamali,229.25172,-9.38291,2.61
Unukalhai,236.06698,6.42563,2.63
Kraz,188.59681,-23.39676,2.65
Mahasim,89.93029,37.21258,2.65
Phact,84.91225,-34.07411,2.65
Ruchbah,21.45396,60.23528,2.66
Muphrid,208.67116,18.39772,2.68
Hassaleh,74.24842,33.1661,2.69
Lesath,262.69098,-37.29581,2.7
Sheratan,28.66005,20.80803,2.7
Kaus Media,275.24851,-29.8281,2.72
Tarazed,296.56491,10.61326,2.72
Athebyne,245.99786,61.51421,2.73
Yed Prior,243.58641,-3.69432,2.73
Imai,183.78632,-58.74893,2.75
Zubenelgenubi,222.71964,-16.04178,2.75
Cebalrai,265.86814,4.5673,2.76
Cursa,76.96244,-5.08645,2.78
Kornephoros,247.555,21.48961,2.78
Rastaban,262.60817,52.30139,2.79
Hatysa,83.85826,-5.9099,2.8
Kaus Borealis,276.99267,-25.4217,2.82
Paikauhale,248.97064,-28.21602,2.82
Algenib,3.30896,15.18359,2.83
Nihal,82.06135,-20.75944,2.83
Tureis,121.88604,-24.30432,2.83
Alcyone,56.87115,24.10514,2.85
Deneb Algedi,326.76018,-16.12729,2.85
Vindemiatrix,195.54416,10.95915,2.85
Tejat,95.74011,22.51358,2.87
Acamar,44.56531,-40.30467,2.88
Albaldah,287.44097,-21.02361,2.88
Cor Caroli,194.00694,38.31838,2.89
Fang,239.71297,-26.11411,2.89
Gomeisa,111.78767,8.28932,2.89
Alniyat,245.29715,-25.59279,2.9
Fawaris,296.24366,45.13081,2.9
Sadalsuud,322.88972,-5.57118,2.9
Matar,340.75058,30.22124,2.93
Algorab,187.46606,-16.51543,2.94
Sadalmelik,331.44598,-0.31985,2.95
Tianguan,84.41119,21.14254,2.97
Zaurak,59.50736,-13.50852,2.97
