name,common,ra_deg,dec_deg,major_arcmin,type,minor_arcmin,pos_angle,messier
IC0001,,2.112708,27.717667,,**,,,
IC0002,,2.753667,-12.822861,0.98,G,0.32,142,
IC0003,,3.025375,-0.415222,0.93,G,0.67,53,
IC0004,,3.362250,17.486444,1.17,G,0.84,12,
IC0005,,4.395542,-9.543361,0.99,G,0.66,9,
IC0006,,4.729333,-3.276083,1.23,G,1.08,146,
IC0007,,4.721500,10.594694,0.90,G,0.63,174,
IC0008,,4.761333,-3.222083,0.82,G,0.34,129,
IC0009,,4.933250,-14.121889,0.59,G,0.46,122,
IC0010,,5.072250,59.303778,6.76,G,6.03,129,
IC0012,,5.062708,-2.653111,0.96,G,0.32,20,
IC0013,,5.083708,7.700500,1.29,G,0.53,162,
IC0014,,5.630375,10.490250,,**,,,
IC0015,,6.989958,-0.061278,0.44,G,0.38,91,
IC0016,,7.031875,-13.093917,0.58,G,0.32,62,
IC0017,,7.124083,2.648611,0.67,G,0.54,102,
IC0018,,7.145667,-11.586694,1.08,G,0.41,29,
IC0019,,7.164500,-11.640778,0.79,G,0.67,30,
IC0020,,7.165333,-13.010306,0.91,G,0.77,18,
IC0021,,7.293458,-0.163778,0.49,G,0.45,6,
IC0022,,7.388208,-9.080750,0.81,G,0.44,45,
IC0023,,7.711667,-12.720250,0.85,G,0.77,20,
IC0024,,7.819292,30.839306,,**,,,
IC0025,,7.800375,-0.407361,0.86,G,0.44,34,
IC0027,,8.276000,-13.371500,0.58,G,0.34,148,
IC0028,,8.286333,-13.456278,0.30,G,0.22,85,
IC0029,,8.545000,-2.177639,0.66,G,0.49,160,
IC0030,,8.561333,-2.084583,0.69,G,0.39,23,
IC0031,,8.602625,12.268167,1.16,G,0.23,90,
IC0032,,8.757042,-2.141694,0.62,G,0.39,1,
IC0033,,8.771500,-2.137694,0.78,G,0.58,123,
IC0034,,8.901750,9.124250,2.81,G,1.05,156,
IC0035,,9.416167,10.357972,0.90,G,0.74,18,
IC0036,,9.456875,-15.441278,0.31,G,0.30,60,
IC0037,,9.642417,-15.358694,0.67,G,0.38,158,
IC0038,,9.661500,-15.419833,0.77,G,0.57,65,
IC0040,,9.839167,2.456222,1.05,G,0.43,14,
IC0041,,9.918208,-14.174333,0.71,G,0.45,162,
IC0042,,10.274333,-15.428083,0.76,G,0.53,56,
IC0043,,10.591917,29.641639,1.26,G,1.15,87,
IC0045,,10.651417,29.655250,,Other,,,
IC0046,,10.741542,27.253472,0.80,G,0.61,82,
IC0047,,10.729208,-13.740722,0.41,G,0.24,100,
IC0048,,10.893625,-8.186500,1.12,G,0.92,172,
IC0049,,10.983875,1.850278,1.28,G,1.04,77,
IC0050,,11.523792,-9.503000,1.02,G,0.87,169,
IC0051,,11.600917,-13.442361,1.70,G,1.11,55,
IC0052,,12.099083,4.091861,0.95,G,0.41,96,
IC0053,,12.669875,10.600278,0.87,G,0.62,94,
IC0054,,12.695208,-2.287778,,**,,,
IC0055,,12.926625,7.718528,0.55,G,0.28,175,
IC0056,,12.874750,-12.844306,0.82,G,0.74,116,
IC0057,,13.702083,11.841194,1.03,G,0.96,10,
IC0058,,13.760167,-13.678083,0.84,G,0.50,105,
IC0059,,14.369208,61.143667,10.00,RfN,5.00,,
IC0060,,14.017625,-13.357917,1.04,G,0.76,48,
IC0061,,14.280000,7.507083,1.34,G,1.29,175,
IC0062,,14.683083,11.808000,0.76,G,0.46,25,
IC0063,,14.870167,60.911694,10.00,HII,3.00,,
IC0064,,14.851750,27.059056,1.03,G,0.65,148,
IC0065,,15.230917,47.681972,2.56,G,0.73,154,
IC0066,,15.135417,30.797222,1.23,G,0.42,124,
IC0069,,15.348583,31.040833,0.76,G,0.41,71,
IC0070,,15.266458,0.050750,0.42,G,0.24,147,
IC0071,,15.330250,-6.767167,,*,,,
IC0072,,15.394625,-6.777944,,*,,,
IC0073,,16.220625,4.767139,0.62,G,0.48,149,
IC0074,,16.483125,4.090250,0.57,G,0.46,5,
IC0075,,16.798375,10.836889,0.66,G,0.51,31,
IC0076,,17.048792,-4.554500,0.81,G,0.36,116,
IC0077,,17.182292,-15.420917,0.52,G,0.44,90,
IC0078,,17.198750,-15.845083,1.75,G,0.75,126,
IC0079,,17.207125,-15.948583,1.24,G,0.91,158,
IC0080,,17.212083,-15.407500,1.20,GPair,,,
IC0080 NED01,,17.211250,-15.408944,1.50,G,1.03,83,
IC0080 NED02,,17.213042,-15.406306,1.50,G,1.06,50,
IC0081,,17.342750,-1.695861,1.17,G,0.91,145,
IC0082,,17.274125,-16.000306,0.91,G,0.83,93,
IC0083,,17.624083,1.689361,0.68,G,0.45,114,
IC0084,,17.856667,1.640194,0.67,G,0.43,12,
IC0085,,17.956458,-0.452472,,*,,,
IC0086,,18.368833,-16.241667,0.72,G,0.34,142,
IC0087,,18.565792,0.765333,0.69,G,0.63,66,
IC0088,,18.630417,0.791750,0.53,G,0.44,129,
IC0090,,19.126458,-7.977139,1.25,G,1.12,146,
IC0091,,19.664292,2.553667,0.71,G,0.26,64,
IC0093,,19.759750,-17.060389,1.21,G,0.56,171,
IC0094,,20.022875,32.717333,,*,,,
IC0095,,19.824500,-12.574139,0.61,G,0.50,54,
IC0096,,20.138417,29.617250,0.78,G,0.30,44,
IC0098,,20.228667,-12.604722,0.68,G,0.61,55,
IC0099,,20.614000,-12.952556,0.58,G,0.52,54,
IC0100,,20.724833,-4.643028,1.04,G,0.77,88,
IC0101,,21.035625,9.930528,1.24,G,0.59,124,
IC0102,,21.109708,9.886556,0.75,G,0.37,111,
IC0103,,21.151833,2.044250,0.95,G,0.67,128,
IC0104,,21.140000,-1.456722,,**,,,
IC0105,,21.192708,2.075278,0.58,G,0.29,47,
IC0107,,21.352750,14.864611,1.62,G,1.31,6,
IC0108,,21.162333,-12.635583,1.30,G,0.36,4,
IC0109,,21.304542,2.066222,0.76,G,0.57,70,
IC0110,,21.444167,33.514694,,Other,,,
IC0111,,21.500542,33.497111,,Other,,,
IC0112,,21.512583,11.442972,0.72,G,0.37,127,
IC0113,,21.606250,19.191972,0.35,G,0.26,160,
IC0114,,21.594083,9.909944,1.40,G,0.56,154,
IC0115,,21.726833,19.214694,0.76,G,0.76,80,
IC0116,,21.710708,-4.982278,0.87,G,0.56,125,
IC0118,,21.900167,-4.997472,0.72,G,0.55,31,
IC0119,,21.979250,-2.040472,1.19,G,0.58,77,
IC0120,,22.054000,-1.915528,0.92,G,0.33,138,
IC0121,,22.090750,2.513028,1.00,G,0.62,108,
IC0122,,22.055000,-14.838889,0.65,G,0.32,14,
IC0123,,22.214417,2.446444,0.67,G,0.47,44,
IC0124,,22.287833,-1.937028,,*,,,
IC0125,,22.326458,-13.279833,0.61,G,0.59,53,
IC0126,,22.449417,-1.983750,0.89,G,0.81,30,
IC0127,,22.448375,-6.980056,1.69,G,0.45,110,
IC0128,,22.849458,-12.624389,0.82,G,0.61,165,
IC0129,,22.880250,-12.654389,1.23,G,0.60,63,
IC0130,,22.869750,-15.591611,0.75,G,0.64,27,
IC0131,,23.310750,30.753250,0.30,HII,,,
IC0132,,23.316333,30.945611,0.67,HII,0.55,,
IC0133,,23.313250,30.888389,0.45,HII,0.45,,
IC0134,,23.354167,30.900667,,*,,,
IC0135,,23.564708,30.620083,0.40,HII,,,
IC0136,,23.566833,30.562056,,*Ass,,,
IC0137,,23.412125,30.522500,,*Ass,,,
IC0138,,23.258250,-0.689833,1.12,G,0.74,23,
IC0139,,23.496833,30.567444,,*Ass,,,
IC0140,,23.492375,30.550139,,*Ass,,,
IC0141,,23.215458,-14.814611,1.23,G,0.91,5,
IC0142,,23.481375,30.757806,0.50,HII,,,
IC0143,,23.545542,30.776417,0.30,HII,,,
